Symbol,Date,Close
NVDA,11/18/14,20.17
NVDA,11/19/14,20.01
NVDA,11/20/14,20.34
NVDA,11/21/14,20.450001
NVDA,11/24/14,20.58
NVDA,11/25/14,20.57
NVDA,11/26/14,20.92
NVDA,11/28/14,20.969999
NVDA,12/1/14,20.58
NVDA,12/2/14,20.610001
NVDA,12/3/14,21.139999
NVDA,12/4/14,20.950001
NVDA,12/5/14,21.07
NVDA,12/8/14,20.799999
NVDA,12/9/14,20.73
NVDA,12/10/14,20.27
NVDA,12/11/14,20.26
NVDA,12/12/14,19.629999
NVDA,12/15/14,19.57
NVDA,12/16/14,19.35
NVDA,12/17/14,20.139999
NVDA,12/18/14,20.219999
NVDA,12/19/14,20.42
NVDA,12/22/14,20.780001
NVDA,12/23/14,20.65
NVDA,12/24/14,20.57
NVDA,12/26/14,20.59
NVDA,12/29/14,20.559999
NVDA,12/30/14,20.370001
NVDA,12/31/14,20.049999
NVDA,1/2/15,20.129999
NVDA,1/5/15,19.790001
NVDA,1/6/15,19.190001
NVDA,1/7/15,19.139999
NVDA,1/8/15,19.860001
NVDA,1/9/15,19.940001
NVDA,1/12/15,19.690001
NVDA,1/13/15,19.66
NVDA,1/14/15,19.74
NVDA,1/15/15,19.6
NVDA,1/16/15,19.959999
NVDA,1/20/15,20.02
NVDA,1/21/15,20.299999
NVDA,1/22/15,20.65
NVDA,1/23/15,20.709999
NVDA,1/26/15,20.620001
NVDA,1/27/15,19.629999
NVDA,1/28/15,19.309999
NVDA,1/29/15,19.780001
NVDA,1/30/15,19.200001
NVDA,2/2/15,19.620001
NVDA,2/3/15,20.110001
NVDA,2/4/15,20.16
NVDA,2/5/15,20.49
NVDA,2/6/15,20.4
NVDA,2/9/15,20.379999
NVDA,2/10/15,20.950001
NVDA,2/11/15,20.809999
NVDA,2/12/15,22.299999
NVDA,2/13/15,22.309999
NVDA,2/17/15,22.379999
NVDA,2/18/15,22.120001
NVDA,2/19/15,22.18
NVDA,2/20/15,22.34
NVDA,2/23/15,22.16
NVDA,2/24/15,22.309999
NVDA,2/25/15,22.139999
NVDA,2/26/15,22.200001
NVDA,2/27/15,22.059999
NVDA,3/2/15,22.6
NVDA,3/3/15,22.18
NVDA,3/4/15,22.43
NVDA,3/5/15,22.860001
NVDA,3/6/15,22.549999
NVDA,3/9/15,22.610001
NVDA,3/10/15,23
NVDA,3/11/15,22.879999
NVDA,3/12/15,22.67
NVDA,3/13/15,22.700001
NVDA,3/16/15,22.969999
NVDA,3/17/15,23.25
NVDA,3/18/15,22.870001
NVDA,3/19/15,23.219999
NVDA,3/20/15,23.469999
NVDA,3/23/15,22.709999
NVDA,3/24/15,22.4
NVDA,3/25/15,21.040001
NVDA,3/26/15,20.969999
NVDA,3/27/15,21.379999
NVDA,3/30/15,21.469999
NVDA,3/31/15,20.93
NVDA,4/1/15,21.01
NVDA,4/2/15,21.059999
NVDA,4/6/15,21.67
NVDA,4/7/15,21.860001
NVDA,4/8/15,22.02
NVDA,4/9/15,22.530001
NVDA,4/10/15,22.76
NVDA,4/13/15,22.549999
NVDA,4/14/15,22.360001
NVDA,4/15/15,22.629999
NVDA,4/16/15,22.49
NVDA,4/17/15,22.200001
NVDA,4/20/15,22.09
NVDA,4/21/15,22.059999
NVDA,4/22/15,22.309999
NVDA,4/23/15,22.219999
NVDA,4/24/15,22.030001
NVDA,4/27/15,22.200001
NVDA,4/28/15,22.309999
NVDA,4/29/15,22.139999
NVDA,4/30/15,22.200001
NVDA,5/1/15,22.75
NVDA,5/4/15,22.610001
NVDA,5/5/15,22.030001
NVDA,5/6/15,22.1
NVDA,5/7/15,22.49
NVDA,5/8/15,20.83
NVDA,5/11/15,20.629999
NVDA,5/12/15,20.83
NVDA,5/13/15,20.950001
NVDA,5/14/15,21.290001
NVDA,5/15/15,21.299999
NVDA,5/18/15,21.27
NVDA,5/19/15,21.040001
NVDA,5/20/15,21.040001
NVDA,5/21/15,20.889999
NVDA,5/22/15,20.860001
NVDA,5/26/15,20.73
NVDA,5/27/15,21.84
NVDA,5/28/15,22.139999
NVDA,5/29/15,22.129999
NVDA,6/1/15,22.379999
NVDA,6/2/15,21.940001
NVDA,6/3/15,21.700001
NVDA,6/4/15,22.09
NVDA,6/5/15,22.26
NVDA,6/8/15,21.75
NVDA,6/9/15,21.860001
NVDA,6/10/15,21.469999
NVDA,6/11/15,21.700001
NVDA,6/12/15,21.110001
NVDA,6/15/15,21.07
NVDA,6/16/15,21.33
NVDA,6/17/15,21.58
NVDA,6/18/15,21.940001
NVDA,6/19/15,21.870001
NVDA,6/22/15,21.780001
NVDA,6/23/15,21.219999
NVDA,6/24/15,21.01
NVDA,6/25/15,21.17
NVDA,6/26/15,20.74
NVDA,6/29/15,20.120001
NVDA,6/30/15,20.110001
NVDA,7/1/15,20.4
NVDA,7/2/15,20.42
NVDA,7/6/15,20.17
NVDA,7/7/15,19.790001
NVDA,7/8/15,19.65
NVDA,7/9/15,19.41
NVDA,7/10/15,19.75
NVDA,7/13/15,19.879999
NVDA,7/14/15,19.889999
NVDA,7/15/15,19.75
NVDA,7/16/15,20.190001
NVDA,7/17/15,20.07
NVDA,7/20/15,19.700001
NVDA,7/21/15,19.790001
NVDA,7/22/15,19.41
NVDA,7/23/15,19.65
NVDA,7/24/15,19.42
NVDA,7/27/15,19.309999
NVDA,7/28/15,19.73
NVDA,7/29/15,19.969999
NVDA,7/30/15,20.02
NVDA,7/31/15,19.950001
NVDA,8/3/15,20.290001
NVDA,8/4/15,20.370001
NVDA,8/5/15,20.58
NVDA,8/6/15,20.450001
NVDA,8/7/15,22.98
NVDA,8/10/15,23.780001
NVDA,8/11/15,23.66
NVDA,8/12/15,23.719999
NVDA,8/13/15,23.52
NVDA,8/14/15,23.540001
NVDA,8/17/15,23.389999
NVDA,8/18/15,23.08
NVDA,8/19/15,22.99
NVDA,8/20/15,22.16
NVDA,8/21/15,21.469999
NVDA,8/24/15,20.709999
NVDA,8/25/15,20.280001
NVDA,8/26/15,21.809999
NVDA,8/27/15,22.629999
NVDA,8/28/15,22.73
NVDA,8/31/15,22.48
NVDA,9/1/15,21.559999
NVDA,9/2/15,22.209999
NVDA,9/3/15,22.27
NVDA,9/4/15,21.75
NVDA,9/8/15,22.68
NVDA,9/9/15,22.23
NVDA,9/10/15,22.58
NVDA,9/11/15,22.65
NVDA,9/14/15,22.690001
NVDA,9/15/15,22.940001
NVDA,9/16/15,23.1
NVDA,9/17/15,23.309999
NVDA,9/18/15,23.290001
NVDA,9/21/15,23.530001
NVDA,9/22/15,22.889999
NVDA,9/23/15,23
NVDA,9/24/15,23.440001
NVDA,9/25/15,23.610001
NVDA,9/28/15,23.299999
NVDA,9/29/15,23.709999
NVDA,9/30/15,24.65
NVDA,10/1/15,24.17
NVDA,10/2/15,24.799999
NVDA,10/5/15,25.42
NVDA,10/6/15,25.75
NVDA,10/7/15,26.02
NVDA,10/8/15,26.17
NVDA,10/9/15,26.07
NVDA,10/12/15,26.35
NVDA,10/13/15,26.4
NVDA,10/14/15,27.360001
